Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1891,286.237,  8.78, 81.71, 45.24,  1.14, 16.98
1981, 36, 0.1962,287.308, 14.69, 65.01, 39.85,  4.13, 33.61
1981, 37, 0.2011,287.837, 22.76, 47.11, 34.94,  6.87, 51.73
1981, 38, 0.2049,287.857, 31.98, 33.16, 32.57,  8.09, 59.69
1981, 39, 0.2056,287.060, 40.67, 24.66, 32.66,  6.02, 59.52
1981, 40, 0.2007,285.420, 47.61, 21.52, 34.56,  3.75, 53.54
1981, 41, 0.1892,282.798, 51.79, 25.21, 38.50,  1.90, 39.97
1981, 42, 0.1715,279.414, 52.90, 33.15, 43.02,  0.97, 26.83
1981, 43, 0.1469,275.884, 49.78, 39.88, 44.83,  0.76, 24.35
1981, 44, 0.1195,271.800, 43.03, 48.17, 45.60,  1.01, 25.40
1981, 45, 0.0976,267.986, 39.65, 52.55, 46.10,  0.88, 25.27
1981, 46, 0.0828,264.800, 42.28, 52.60, 47.44,  1.01, 23.97
1981, 47, 0.0743,262.251, 47.60, 51.66, 49.63,  0.55, 19.76
1981, 48, 0.0681,260.823, 50.59, 48.58, 49.58,  0.50, 19.17
1981, 49, 0.0623,259.786, 49.63, 46.89, 48.26,  0.67, 22.66
1981, 50, 0.0610,259.013, 51.91, 45.94, 48.92,  0.84, 21.02
1981, 51, 0.0591,258.560, 53.54, 44.26, 48.90,  0.76, 20.89
1981, 52, 0.0579,258.755, 56.61, 38.86, 47.74,  0.50, 21.02
1982,  1, 0.0599,259.934, 63.81, 27.55, 45.68,  0.93, 22.24
1982,  2, 0.0636,261.689, 67.40, 19.82, 43.61,  1.01, 23.55
1982,  3, 0.0653,262.911, 68.14, 17.19, 42.66,  0.80, 25.65
1982,  4, 0.0642,264.158, 65.75, 17.69, 41.72,  0.29, 27.46
1982,  5, 0.0596,264.372, 57.71, 24.29, 41.00,  0.08, 28.26
1982,  6, 0.0560,264.950, 48.17, 30.10, 39.14,  0.04, 33.15
1982,  7, 0.0537,265.815, 39.32, 34.60, 36.96,  0.04, 42.80
1982,  8, 0.0545,266.887, 34.27, 37.50, 35.89,  0.13, 47.18
1982,  9, 0.0555,268.241, 30.52, 39.77, 35.15,  0.08, 50.67
1982, 10, 0.0584,270.100, 27.77, 39.63, 33.70,  0.08, 59.06
1982, 11, 0.0659,272.208, 27.08, 38.85, 32.96,  0.21, 64.24
1982, 12, 0.0748,274.230, 26.04, 40.74, 33.39,  0.13, 61.25
1982, 13, 0.0814,275.717, 23.19, 43.54, 33.37,  0.34, 60.62
1982, 14, 0.0865,276.853, 19.25, 46.19, 32.72,  1.01, 62.93
1982, 15, 0.0936,277.557, 16.91, 50.99, 33.95,  0.72, 56.99
1982, 16, 0.1123,279.143, 12.61, 69.21, 40.91,  0.25, 30.12
1982, 17, 0.1358,281.365, 12.70, 73.69, 43.20,  0.13, 23.38
1982, 18, 0.1769,284.800, 19.31, 69.11, 44.21,  0.21, 20.81
1982, 19, 0.2239,287.938, 27.27, 61.78, 44.52,  0.38, 20.05
1982, 20, 0.2635,289.958, 27.59, 57.95, 42.77,  0.46, 22.03
1982, 21, 0.2919,290.750, 31.73, 57.68, 44.70,  0.17, 16.93
1982, 22, 0.3070,290.870, 33.47, 58.26, 45.86,  0.13, 15.25
1982, 23, 0.3126,290.858, 32.85, 59.53, 46.19,  0.08, 14.36
1982, 24, 0.3114,290.709, 30.63, 62.47, 46.55,  0.04, 12.60
1982, 25, 0.3095,290.543, 28.79, 66.32, 47.55,  0.04, 10.40
1982, 26, 0.3095,290.527, 28.44, 67.91, 48.17,  0.00,  9.10
1982, 27, 0.3135,290.946, 31.26, 66.14, 48.70,  0.04,  9.14
1982, 28, 0.3213,291.618, 37.13, 62.80, 49.97,  0.00,  7.37
1982, 29, 0.3306,292.429, 43.45, 58.34, 50.89,  0.00,  6.95
1982, 30, 0.3311,292.809, 50.04, 57.33, 53.69,  0.04,  4.72
1982, 31, 0.3312,293.326, 52.10, 54.30, 53.20,  0.04,  5.52
1982, 32, 0.3271,293.604, 52.21, 51.00, 51.60,  0.00,  7.46
1982, 33, 0.3242,293.634, 53.59, 48.33, 50.96,  0.04,  9.18
1982, 34, 0.3242,293.596, 57.74, 40.05, 48.89,  0.08, 13.40
1982, 35, 0.3212,293.106, 62.20, 30.12, 46.16,  0.25, 16.13
1982, 36, 0.3127,292.375, 66.14, 19.33, 42.73,  0.38, 23.17
1982, 37, 0.2950,291.202, 66.43, 15.64, 41.03,  0.46, 27.55
1982, 38, 0.2761,289.452, 66.23, 18.50, 42.37,  0.42, 23.72
1982, 39, 0.2461,287.264, 60.92, 22.50, 41.71,  0.55, 27.84
1982, 40, 0.2097,284.894, 52.23, 25.55, 38.89,  1.60, 38.54
1982, 41, 0.1734,282.541, 42.53, 27.23, 34.88,  4.09, 51.22
1982, 42, 0.1488,280.472, 38.88, 24.41, 31.65,  8.34, 62.34
1982, 43, 0.1314,278.411, 39.45, 20.11, 29.78, 11.46, 66.51
1982, 44, 0.1170,276.700, 40.71, 13.91, 27.31, 14.87, 74.39
1982, 45, 0.1001,274.989, 40.85,  9.54, 25.19, 19.88, 79.28
1982, 46, 0.0899,273.068, 47.97,  6.92, 27.45, 16.60, 73.29
1982, 47, 0.0814,270.867, 53.91,  6.46, 30.18, 11.37, 66.18
1982, 48, 0.0723,268.404, 54.07,  8.84, 31.45,  7.46, 62.60
1982, 49, 0.0630,266.209, 48.88, 11.96, 30.42,  7.84, 67.14
1982, 50, 0.0578,264.270, 45.65, 16.04, 30.84,  7.62, 66.51
1982, 51, 0.0585,262.509, 51.12, 21.39, 36.25,  3.08, 49.16
1982, 52, 0.0564,261.580, 53.30, 23.26, 38.28,  1.73, 42.00
1983,  1, 0.0529,261.106, 52.42, 21.09, 36.75,  1.43, 47.01
1983,  2, 0.0498,260.850, 47.40, 23.07, 35.24,  1.64, 50.88
1983,  3, 0.0494,260.607, 47.20, 27.26, 37.23,  1.39, 44.99
1983,  4, 0.0507,260.334, 49.02, 34.65, 41.84,  0.29, 29.95
1983,  5, 0.0492,259.743, 45.98, 44.96, 45.47,  0.08, 20.64
1983,  6, 0.0453,259.012, 37.88, 56.10, 46.99,  0.04, 15.75
1983,  7, 0.0439,259.254, 31.43, 62.67, 47.05,  0.04, 13.69
1983,  8, 0.0452,260.394, 27.93, 64.92, 46.42,  0.00, 12.43
1983,  9, 0.0498,262.227, 27.47, 65.18, 46.32,  0.00, 10.19
1983, 10, 0.0576,264.617, 27.97, 62.49, 45.23,  0.00, 11.29
1983, 11, 0.0664,267.160, 27.95, 59.69, 43.82,  0.00, 15.25
1983, 12, 0.0791,270.052, 28.93, 57.78, 43.36,  0.04, 15.75
1983, 13, 0.0977,273.781, 32.97, 51.98, 42.47,  0.08, 20.60
1983, 14, 0.1172,277.012, 37.27, 45.92, 41.59,  0.29, 25.82
1983, 15, 0.1426,280.322, 44.38, 38.68, 41.53,  0.25, 26.83
1983, 16, 0.1712,283.162, 46.19, 45.47, 45.83,  0.21, 18.79
1983, 17, 0.2060,286.268, 50.44, 41.62, 46.03,  0.29, 18.66
1983, 18, 0.2387,288.684, 50.99, 41.36, 46.18,  0.29, 17.40
1983, 19, 0.2657,290.166, 48.43, 45.29, 46.86,  0.21, 17.73
1983, 20, 0.2871,291.482, 36.74, 47.32, 42.03,  0.42, 25.61
1983, 21, 0.3022,292.295, 35.69, 46.47, 41.08,  0.63, 29.02
1983, 22, 0.3158,292.911, 36.82, 43.30, 40.06,  0.84, 32.06
1983, 23, 0.3200,292.810, 35.60, 45.16, 40.38,  0.67, 30.37
1983, 24, 0.3112,292.057, 30.14, 52.26, 41.20,  0.38, 27.72
